a			ʌ
ables			ejˈbʌlz
ablest			ejˈbʌlst
ablest(1)		ejˈblʌst
abloom			ʌbluˈm
ably			ejˈbli
abner			æˈbnɜɹ
abney			æˈbni
abnormal		æbnɔˈɹmʌl
abnormalities		æˌbnɔɹmæˈlʌtiz
abnormality		æˌbnɔɹmæˈlʌti
abnormally		æbnɔˈɹmʌli
abo			ɑˈbow
abo's			ɑˈbowz
aboard			ʌbɔˈɹd
abode			ʌbowˈd
abohalima		æbʌhʌliˈmʌ
abolish		ʌbɑˈlɪʃ
abolished		ʌbɑˈlɪʃt
abolishes		ʌbɑˈlɪʃɪz
abolishing		ʌbɑˈlɪʃɪŋ
abolition		æˌbʌlɪˈʃʌn
abolitionism		æˌbʌlɪˈʃʌnɪˌzʌm
abolitionist		æˌbʌlɪˈʃʌnʌst
abolitionists		æˌbʌlɪˈʃʌnʌsts
abolitionists(1)	æˌbʌlɪˈʃʌnʌs
abominable		ʌbɑˈmʌnʌbʌl
abomination		ʌbɑˌmʌnejˈʃʌn
abood			ʌbuˈd
aboodi			ʌbuˈdi
abor			ʌbɔˈɹ
aboriginal		æˌbɜɹɪˈdʒʌnʌl
aborigine		æˌbɜɹɪˈdʒʌni
aborigines		æˌbɜɹɪˈdʒʌniz
aborn			ʌbɔˈɹn
abort			ʌbɔˈɹt
aborted		ʌbɔˈɹtɪd
abortifacient		ʌbɔˌɹtʌfejˈʃʌnt
abortifacients		ʌbɔˌɹtʌfejˈʃʌnts
aborting		ʌbɔˈɹtɪŋ
abortion		ʌbɔˈɹʃʌn
abortionist		ʌbɔˈɹʃʌnɪst
abortionists		ʌbɔˈɹʃʌnɪsts
abortionists(1)	ʌbɔˈɹʃʌnɪs
abortions		ʌbɔˈɹʃʌnz
abortive		ʌbɔˈɹtɪv
aborts			ʌbɔˈɹts
abott			ʌbɑˈt
abou			ʌbuˈ
aboud			ɑbuˈd
abouhalima		ɑˌbuhɑliˈmʌ
abouhalima's		ɑˌbuhɑliˈmʌz
abound			ʌbawˈnd
abounded		ʌbawˈndɪd
abounding		ʌbawˈndɪŋ
abounds		ʌbawˈndz
about			ʌbawˈt
about's		ʌbawˈts
above			ʌbʌˈv
above's		ʌbʌˈvz
aboveboard		ʌbʌˈvbɔˌɹd
abplanalp		æˈbplʌnælp
abra			ɑˈbɹʌ
abracadabra		æˌbɹʌkʌdæˈbɹʌ
abraham		ejˈbɹʌhæˌm
abrahamian		æˌbɹʌhejˈmiʌn
abrahams		ejˈbɹʌhæˌmz
abrahamsen		æbɹʌhæˈmsʌn
abrahamson		ʌbɹæˈhʌmsʌn
abram			ʌbɹæˈm
abram's		ejˈbɹʌmz
abramczyk		ɑˈbɹʌmtʃɪk
abramo			ɑbɹɑˈmow
abramovitz		ʌbɹɑˈmʌvɪts
abramowicz		ʌbɹɑˈmʌvɪtʃ
abramowitz		ʌbɹɑˈmʌwɪts
abrams			ejˈbɹʌmz
abrams's		ejˈbɹʌmzɪz
abramson		ejˈbɹʌmsʌn
abrasion		ʌbɹejˈʒʌn
abrasions		ʌbɹejˈʒʌnz
abrasive		ʌbɹejˈsɪv
abrasives		ʌbɹejˈsɪvz
abraxa			ʌbɹæˈksʌ
abraxa's		ʌbɹæˈksʌz
abraxas		ʌbɹæˈksʌz
abreast		ʌbɹɛˈst
abrego			ɑbɹɛˈgow
abreu			ʌbɹuˈ
abridge		ʌbɹɪˈdʒ
abridged		ʌbɹɪˈdʒd
abridgement		ʌbɹɪˈdʒmʌnt
abridges		ʌbɹɪˈdʒʌz
abridging		ʌbɹɪˈdʒɪŋ
abril			ʌbɹɪˈl
abroad			ʌbɹɔˈd
abrogate		æˈbɹʌgejˌt
abrogated		æˈbɹʌgejˌtɪd
abrogating		æˈbɹʌgejˌtɪŋ
abrogation		æˌbɹʌgejˈʃʌn
abrol			ʌbɹowˈl
abron			ʌbɹɑˈn
abrupt			ʌbɹʌˈpt
abruptly		ʌbɹʌˈptli
abruptness		ʌbɹʌˈptnʌs
abrutyn		ejˈbɹutɪn
abruzzese		ɑbɹutsejˈzi
abruzzo		ɑbɹuˈzow
abs			ejˈbiˈɛˈs
abs(1)			æˈbz
absalom		æˈbsʌlʌm
absaraka		æbsɑˈɹʌkʌ
abscam			æˈbskæm
abscess		æˈbsɛˌs
abscond		æbskɑˈnd
absconded		æbskɑˈndʌd
absconding		æbskɑˈndɪŋ
absconds		æbskɑˈndz
absecon		æˈbsʌkɔn
absence		æˈbsʌns
absences		æˈbsʌnsɪz
absent			æˈbsʌnt
absentee		æˌbsʌntiˈ
absenteeism		æˌbsʌntiˈɪzʌm
absentees		æˌbsʌntiˈz
absentia		æbsɛˈnʃʌ
absher			æˈbʃɜɹ
abshier		æˈbʃiɜɹ
abshire		æˈbʃajˌɹ
absinthe		æˈbsɪnθ
abso			æˈbsow
absolom		æˈbsʌlʌm
absolut		æˌbsʌluˈt
absolut's		æˌbsʌluˈts
absolute		æˈbsʌluˌt
absolutely		æˌbsʌluˈtli
absoluteness		æˈbsʌluˌtnʌs
absolutes		æˈbsʌluˌts
absolution		æˌbsʌluˈʃʌn
absolutism		æˈbsʌluˌtɪˌzʌm
absolutist		æbsɪluˈtɪst
absolve		ʌbzɑˈlv
absolve(1)		æbzɑˈlv
absolved		ʌbzɑˈlvd
absolved(1)		æbzɑˈlvd
absolves		ʌbzɑˈlvz
absolves(1)		æbzɑˈlvz
absolving		ʌbzɑˈlvɪŋ
absolving(1)		æbzɑˈlvɪŋ
absorb			ʌbzɔˈɹb
absorbed		ʌbzɔˈɹbd
absorbency		ʌbzɔˈɹbʌnsi
absorbent		ʌbzɔˈɹbʌnt
absorber		ʌbzɔˈɹbɜɹ
absorbers		ʌbzɔˈɹbɜɹz
absorbing		ʌbzɔˈɹbɪŋ
absorbs		ʌbzɔˈɹbz
absorption		ʌbzɔˈɹpʃʌn
absorption(1)		ʌbsɔˈɹpʃʌn
abstain		ʌbstejˈn
abstain(1)		æbstejˈn
abstained		ʌbstejˈnd
abstained(1)		æbstejˈnd
abstaining		ʌbstejˈnɪŋ
abstaining(1)		æbstejˈnɪŋ
abstention		ʌbstɛˈntʃʌn
abstention(1)		æbstɛˈntʃʌn
abstentions		ʌbstɛˈntʃʌnz
abstentions(1)		æbstɛˈntʃʌnz
abstinence		æˈbstʌnʌns
abstinent		æˈbstʌnʌnt
abston			æˈbstʌn
abstract		æbstɹæˈkt
abstract(1)		æˈbstɹæˌkt
abstracted		æˈbstɹæˌktɪd
abstraction		æbstɹæˈkʃʌn
abstractions		æbstɹæˈkʃʌnz
abstracts		æˈbstɹækts
abstruse		ʌbstɹuˈs
absurd			ʌbsɜɹˈd
absurdist		ʌbsɜɹˈdɪst
absurdities		ʌbsɜɹˈdʌtiz
absurdity		ʌbsɜɹˈdʌti
absurdly		ʌbsɜɹˈdli
abt			æˈbt
abt(1)			ejˈbiˈtiˈ
abts			æˈbts
abts(1)		ejˈbiˈtiˈz
abts(2)		ejˈbiˈtiˈɛˈs
abu			æˈbu
abudrahm		ʌbʌˈdɹʌm
abuellah		ʌbwɛˈlʌ
abuellah's		ʌbwɛˈlʌz
abuladze		æˌbjulæˈdzi
abundance		ʌbʌˈndʌns
abundant		ʌbʌˈndʌnt
abundantly		ʌbʌˈndʌntli
aburto			ʌbʊˈɹtowˌ
aburto's		ʌbʊˈɹtowˌz
abuse			ʌbjuˈs
abuse(1)		ʌbjuˈz
abused			ʌbjuˈzd
abuser			ʌbjuˈzɜɹ
abusers		ʌbjuˈzɜɹz
abuses			ʌbjuˈsɪz
abuses(1)		ʌbjuˈzɪz
abusing		ʌbjuˈzɪŋ
abusive		ʌbjuˈsɪv
abut			ʌbʌˈt
abuts			ʌbʌˈts
abutted		ʌbʌˈtʌd
abutting		ʌbʌˈtɪŋ
abuzz			ʌbʌˈz
abysmal		ʌbɪˈzmʌl
abysmally		ʌbɪˈzmʌli
abyss			ʌbɪˈs
abyssinia		æbsɪˈniˌʌ
abyssinian		æbsɪˈniˌʌn
abzug			æˈbzʌˌg
abzug(1)		æˈbzʊˌg
ac			ejˈsiˈ
aca			æˈkʌ
acacia			ʌkejˈʃʌ
academe		æˈkʌdiˌm
academia		æˌkʌdiˈmiʌ
academic		æˌkʌdɛˈmɪk
academically		æˌkʌdɛˈmɪkli
academician		æˌkʌdʌmɪˈʃʌn
academicians		æˌkʌdʌmɪˈʃʌnz
academicians(1)	ʌkæˌdʌmɪˈʃʌnz
academics		æˌkʌdɛˈmɪks
academies		ʌkæˈdʌmiz
academy		ʌkæˈdʌmi
academy's		ʌkæˈdʌmiz
acadia			ʌkejˈdiʌ
acampo			ʌkɑˈmpow
acampora		ʌkæˈmpɜɹʌ
acampsia		ʌkæˈmpsjʌ
acantha		ɑkɑˈnðʌ
acapulco		æˌkʌpʊˈlkow
acary			æˈkɜɹi
accardi		ɑkɑˈɹdi
accardo		ɑkɑˈɹdow
accede			æksiˈd
acceded		æksiˈdɪd
accedes		æksiˈdz
acceding		æksiˈdɪŋ
accel			ʌksɛˈl
accelerant		æksɛˈlɜɹʌnt
accelerants		æksɛˈlɜɹʌnts
accelerate		æksɛˈlɜɹejˌt
accelerated		æksɛˈlɜɹejˌtɪd
accelerates		æksɛˈlɜɹejˌts
accelerating		æksɛˈlɜɹejˌtɪŋ
acceleration		æˌksɛˌlɜɹejˈʃʌn
accelerator		æksɛˈlɜɹejˌtɜɹ
accelerators		æksɛˈlɜɹejˌtɜɹz
accelerometer		æksɛˌlɜɹɑˈmʌtɜɹ
accelerometers		æksɛˌlɜɹɑˈmʌtɜɹz
accent			ʌksɛˈnt
accent(1)		æˈksɛˌnt
accented		æˈksɛntɪd
accenting		æˈksɛntɪŋ
accents		æˈksɛnts
accentuate		æksɛˈntʃuejt
accentuated		æksɛˈntʃʌwejˌtɪd
accentuates		æksɛˈntʃuejts
accentuating		æksɛˈntʃʌwejˌtɪŋ
accept			æksɛˈpt
accept(1)		ʌksɛˈpt
acceptability		ʌksɛˌptʌbɪˈlʌti
acceptable		æksɛˈptʌbʌl
acceptable(1)		ʌksɛˈptʌbʌl
acceptably		æksɛˈptʌbli
acceptably(1)		ʌksɛˈptʌbli
acceptance		æksɛˈptʌns
acceptance(1)		ʌksɛˈptʌns
acceptances		æksɛˈptʌnsɪz
accepted		æksɛˈptɪd
accepted(1)		ʌksɛˈptʌd
accepting		æksɛˈptɪŋ
accepting(1)		ʌksɛˈptɪŋ
accepts		æksɛˈpts
access			æˈksɛˌs
accessed		æˈksɛˌst
accessibility		æˌksɛsʌbɪˈlɪti
accessible		æksɛˈsʌbʌl
accessing		æˈksɛˌsɪŋ
accession		ʌksɛˈʃʌn
accessories		æksɛˈsɜɹiz
accessorize		æksɛˈsɜɹajˌz
accessorized		æksɛˈsɜɹajˌzd
accessory		æksɛˈsɜɹi
accetta		ɑtʃɛˈtʌ
accident		æˈksʌdʌnt
accident's		æˈksʌdʌnts
accidental		æˌksʌdɛˈntʌl
accidental(1)		æˌksʌdɛˈnʌl
accidentally		æˌksʌdɛˈntʌli
accidentally(1)	æˌksʌdɛˈnʌli
accidently		æˈksʌdʌntli
accidents		æˈksʌdʌnts
accion			æˈtʃiʌn
accival		æˈsɪvɑˌl
acclaim		ʌklejˈm
acclaim's		ʌklejˈmz
acclaimed		ʌklejˈmd
acclaiming		ʌklejˈmɪŋ
acclaims		ʌklejˈmz
acclamation		æˌklʌmejˈʃʌn
acclimate		æˈklʌmejˌt
acclimated		æˈklʌmejˌtɪd
acclimation		æˌklʌmejˈʃʌn
acco			æˈkow
accokeek		æˈkowkik
accola			ɑkowˈlʌ
accolade		æˈkʌlejˌd
accolades		æˈkʌlejˌdz
accomando		ɑkowmɑˈndow
accommodate		ʌkɑˈmʌdejˌt
accommodated		ʌkɑˈmʌdejˌtʌd
accommodates		ʌkɑˈmʌdejˌts
accommodating		ʌkɑˈmʌdejˌtɪŋ
accommodation		ʌkɑˌmʌdejˈʃʌn
accommodations		ʌkɑˌmʌdejˈʃʌnz
accommodative		ʌkɑˈmʌdejˌtɪv
accompanied		ʌkʌˈmpʌnid
accompanies		ʌkʌˈmpʌniz
accompaniment		ʌkʌˈmpnɪmʌnt
accompaniment(1)	ʌkʌˈmpnimʌnt
accompaniments		ʌkʌˈmpnɪmʌnts
accompaniments(1)	ʌkʌˈmpnimʌnts
accompanist		ʌkʌˈmpʌnʌst
accompany		ʌkʌˈmpʌni
accompanying		ʌkʌˈmpʌniɪŋ
accompli		ɑˌkɑˈmpli
accompli(1)		ʌkɑˈmpli
accomplice		ʌkɑˈmplʌs
accomplices		ʌkɑˈmplʌsʌz
accomplish		ʌkɑˈmplɪʃ
accomplished		ʌkɑˈmplɪʃt
accomplishes		ʌkɑˈmplɪʃɪz
accomplishing		ʌkɑˈmplɪʃɪŋ
accomplishment		ʌkɑˈmplɪʃmʌnt
accomplishments	ʌkɑˈmplɪʃmʌnts
accor			æˈkɔˌɹ
accor's		æˈkɜɹz
accord			ʌkɔˈɹd
accord's		ʌkɔˈɹdz
accordance		ʌkɔˈɹdʌns
accorded		ʌkɔˈɹdɪd
according		ʌkɔˈɹdɪŋ
accordingly		ʌkɔˈɹdɪŋli
accordion		ʌkɔˈɹdiʌn
accordions		ʌkɔˈɹdiʌnz
accords		ʌkɔˈɹdz
accost			ʌkɔˈst
accosted		ʌkɑˈstʌd
accosting		ʌkɑˈstɪŋ
account		ʌkawˈnt
account's		ʌkawˈnts
accountability		ʌkawˈntʌbɪlɪti
accountability(1)	ʌkawˈnʌbɪlɪti
accountable		ʌkawˈntʌbʌl
accountable(1)		ʌkawˈnʌbʌl
accountancy		ʌkawˈntʌnsi
accountant		ʌkawˈntʌnt
accountant's		ʌkawˈntʌnts
accountants		ʌkawˈntʌnts
accountants'		ʌkawˈntʌnts
accounted		ʌkawˈntʌd
accounted(1)		ʌkawˈnʌd
accountemp		ʌkawˈntɛˌmp
accountemps		ʌkawˈntɛˌmps
accounting		ʌkawˈntɪŋ
accounting(1)		ʌkawˈnɪŋ
accounts		ʌkawˈnts
accouterment		ʌkuˈtɜɹmʌnt
accouterments		ʌkuˈtɜɹmʌnts
accoutrement		ʌkuˈtɜɹmʌnt
accoutrements		ʌkuˈtɜɹmʌnts
accredit		ʌkɹɛˌdʌt
accreditation		ʌkɹɛˌdʌtejˈʃʌn
accreditations		ʌkɹɛˌdʌdejˈʃʌnz
accredited		ʌkɹɛˈdɪtɪd
accrediting		ʌkɹɛˈdʌtɪŋ
accreted		ʌkɹiˈtɪd
accretion		ʌkɹiˈʃʌn
accrual		ʌkɹuˈʌl
accruals		ʌkɹuˈʌlz
accrue			ʌkɹuˈ
accrued		ʌkɹuˈd
accrues		ʌkɹuˈz
accruing		ʌkɹuˈɪŋ
accu			æˈkju
accuhealth		æˈkjuhɛˌlθ
accumulate		ʌkjuˈmjʌlejˌt
accumulated		ʌkjuˈmjʌlejˌtɪd
accumulates		ʌkjuˈmjʌlejˌts
accumulating		ʌkjuˈmjʌlejˌtɪŋ
accumulation		ʌkjuˌmjʌlejˈʃʌn
accumulations		ʌkjuˌmjʌlejˈʃʌnz
accumulative		ʌkjuˈmjʌlejˌtɪv
accumulatively		ʌkjuˈmjʌlejˌtɪvli
accumulatively(1)	ʌkjuˈmjʌlʌtɪvli
accumulator		ʌkjuˈmjʌlejˌtɜɹ
accumulators		ʌkjuˈmjʌlejˌtɜɹz
accuracies		æˈkjɜɹʌsiz
accuracy		æˈkjɜɹʌsi
accurate		æˈkjɜɹʌt
accurately		æˈkjɜɹʌtli
accuray		æˈkjɜɹejˌ
accuray's		æˈkjɜɹejˌz
accuride		æˈkjɜɹajˌd
accurso		ɑkʊˈɹsow
accusation		æˌkjʌzejˈʃʌn
accusation(1)		æˌkjuzejˈʃʌn
accusations		æˌkjʌzejˈʃʌnz
accusations(1)		æˌkjuzejˈʃʌnz
accusative		ʌkjuˈzʌtɪv
accusatory		ʌkjuˈzʌtɔˌɹi
accuse			ʌkjuˈz
accused		ʌkjuˈzd
accuser		ʌkjuˈzɜɹ
accusers		ʌkjuˈzɜɹz
accuses		ʌkjuˈzɪz
accusing		ʌkjuˈzɪŋ
accusingly		ʌkjuˈzɪŋli
accustom		ʌkʌˈstʌm
accustomed		ʌkʌˈstʌmd
accutane		æˈkjutejˌn
ace			ejˈs
acecomm		ejˈskɑm
aced			ejˈst
acer			ejˈsɜɹ
acerbic		ʌsɛˈɹbɪk
acero			ʌsɛˈɹow
acero(1)		ʌsjɛˈɹow
acero(2)		ʌθɛˈɹow
acerra			ʌsɛˈɹʌ
aces			ejˈsɪz
acetaminophen		ʌsiˌtʌmɪˈnʌfʌn
acetate		æˈsʌtejˌt
acetic			ʌsɛˈtɪk
acetic(1)		ʌsiˈtɪk
aceto			ɑsɛˈtow
acetochlor		ɑsɛˈtowklɔˌɹ
acetone		æˈsʌtowˌn
acetosyringone		ʌsɛˌtowsɪˈɹɪŋgɔn
acetylcholine		ʌsɛˌtʌlkowˈlin
acetylcholine(1)	ʌsiˌtʌlkowˈlin
acetylene		ʌsɛˈtʌliˌn
acevedo		æsʌvejˈdow
aceves			ɑsejˈvɛs
acey			ejˈsi
achaean		ʌtʃiˈʌn
achatz			æˈkʌts
ache			ejˈk
achebe			ɑtʃejˈbi
ached			ejˈkt
achee			ʌtʃiˈ
achenbach		æˈkɪnbɑk
achenbaum		æˈkʌnbawˌm
aches			ejˈks
acheson		æˈtʃʌsʌn
acheson's		æˈtʃʌsʌnz
achesons		æˈtʃʌsʌnz
achey			æˈtʃi
achieva		ʌtʃiˈvʌ
achievable		ʌtʃiˈvʌbʌl
achieve		ʌtʃiˈv
achieved		ʌtʃiˈvd
achievement		ʌtʃiˈvmʌnt
achievements		ʌtʃiˈvmʌnts
achiever		ʌtʃiˈvɜɹ
achievers		ʌtʃiˈvɜɹz
achieves		ʌtʃiˈvz
achieving		ʌtʃiˈvɪŋ
achille		ʌkɪˈli
achilles		ʌkɪˈliz
achilles'		ʌkɪˈliz
aching			ejˈkɪŋ
achingly		ejˈkɪŋli
achmed			ɑˈhmɛd
achoa			ʌtʃowˈʌ
achoa's		ʌtʃowˈʌz
achor			ejˈkɜɹ
achord			æˈkɔɹd
achorn			æˈkɜɹn
achtenberg		æˈktɛnbɜɹg
achterberg		æˈktɜɹbɜɹg
achy			ejˈki
acid			æˈsʌd
acidic			ʌsɪˈdɪk
acidification		ʌsɪˌdʌfʌkejˈʃʌn
acidified		ʌsɪˈdʌfajˌd
acidifies		ʌsɪˈdʌfajˌz
acidify		ʌsɪˈdʌfajˌ
acidity		ʌsɪˈdʌti
acidly			æˈsʌdli
acidosis		æˌsʌdowˈsʌs
acids			æˈsʌdz
aciduria		æˌsʌdʊˈɹiʌ
acierno		ɑsɪˈɹnow
ack			æˈk
acker			æˈkɜɹ
acker's		æˈkɜɹz
ackerley		æˈkɜɹli
ackerly		æˈkɜɹli
ackerman		æˈkɜɹmʌn
ackermann		æˈkɜɹmʌn
ackermanville		æˈkɜɹmʌnvɪl
ackerson		æˈkɜɹsʌn
ackert			æˈkɜɹt
ackhouse		æˈkhawˌs
ackland		æˈklʌnd
ackles			æˈkʌlz
ackley			æˈkli
acklin			æˈklɪn
ackman			æˈkmʌn
acknowledge		æknɑˈlɪdʒ
acknowledge(1)		ɪknɑˈlɪdʒ
acknowledgeable	æknɑˈlɪdʒʌbʌl
acknowledgeable(1)	ɪknɑˈlɪdʒʌbʌl
acknowledged		æknɑˈlɪdʒd
acknowledged(1)	ɪknɑˈlɪdʒd
acknowledgement	æknɑˈlɪdʒmʌnt
acknowledgement(1)	ɪknɑˈlɪdʒmʌnt
acknowledgements	æknɑˈlɪdʒmʌnts
acknowledgements(1)	ɪknɑˈlɪdʒmʌnts
acknowledges		æknɑˈlɪdʒɪz
acknowledges(1)	ɪknɑˈlɪdʒɪz
acknowledging		æknɑˈlɪdʒɪŋ
acknowledging(1)	ɪknɑˈlɪdʒɪŋ
acknowledgment		æknɑˈlɪdʒmʌnt
acknowledgment(1)	ɪknɑˈlɪdʒmʌnt
ackroyd		æˈkɹɔjˌd
ackroyd's		æˈkɹɔjˌdz
acmat			æˈkmæt
acmat's		æˈkmæts
acme			æˈkmi
acme's			æˈkmiz
acne			æˈkni
acocella		ɑkowtʃɛˈlʌ
acoff			æˈkɔf
acog			ʌkɔˈg
acolyte		æˈkʌlajˌt
acolytes		æˈkʌlajˌts
acord			ʌkɔˈɹd
acordia		ʌkɔˈɹdiʌ
acorn			ejˈkɔɹn
acorn's		ejˈkɔɹnz
acorns			ejˈkɔɹnz
